date of status	status	кол-во листов	#	ОФ	НФ	/	Место хранения		Код СС	Наименование документа	полнота	подлин.	способ воспроизв.	дата документа	примечания	дата сост. Архива	Автор: не Котс А.Ф.
10/14/2014	scanned		2537	12497		773	1291	of-12497-773	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1909 декабря 31	нем. яз.; водяные знаки		
10/14/2014	scanned		2524	12497		774	1291	of-12497-774	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1909 июля 20	нем. яз.; водяные знаки		
10/14/2014	scanned		2515	12497		775	1291	of-12497-775	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1909 марта 16	нем. яз.; водяные знаки		
10/14/2014	scanned		2517	12497		776	1291	of-12497-776	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1909 марта 27	нем. яз.; водяные знаки		
10/14/2014	scanned		2514	12497		777	1291	of-12497-777	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1909 марта 4	нем. яз.; водяные знаки		
10/14/2014	scanned		2516	12497		778	1291	of-12497-778	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1909 марта 25	нем. яз.; водяные знаки		
10/14/2014	scanned		2522	12497		779	1291	of-12497-779	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1909 мая 14	нем. яз.; водяные знаки		
10/14/2014	scanned		2523	12497		780	1291	of-12497-780	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1909 мая 27	нем. яз.; водяные знаки		
10/14/2014	scanned		2534	12497		781	1291	of-12497-781	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1909 ноября 20	нем. яз.; водяные знаки		
10/14/2014	scanned		2535	12497		782	1291	of-12497-782	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1909 ноября 22	нем. яз.; водяные знаки		
10/14/2014	scanned		2536	12497		783	1291	of-12497-783	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1909 ноября 30	нем. яз.; водяные знаки		
10/14/2014	scanned		2533	12497		784	1291	of-12497-784	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1909 ноября 8	нем. яз.; водяные знаки		
10/14/2014	scanned		2530	12497		785	1291	of-12497-785	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1909 октября 12	нем. яз.; водяные знаки		
10/14/2014	scanned		2532	12497		786	1291	of-12497-786	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1909 октября 27	нем. яз.; водяные знаки		
10/14/2014	scanned		2529	12497		787	1291	of-12497-787	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1909 сентября 30	нем. яз.; водяные знаки		
10/14/2014	scanned		2528	12497		788	1291	of-12497-788	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1909 сентября 7	нем. яз.; водяные знаки		
10/14/2014	scanned		2513	12497		789	1291	of-12497-789	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1909 февраля 26	нем. яз.; водяные знаки		
10/14/2014	scanned		2512	12497		790	1291	of-12497-790	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1909 февраля 9	нем. яз.; водяные знаки		
10/14/2014	scanned		2542	12497		791	1291	of-12497-791	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1910 декабря 30	нем. яз.		
10/14/2014	scanned		2541	12497		792	1291	of-12497-792	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1910 ноября 22	нем. яз.		
10/14/2014	scanned		2540	12497		793	1291	of-12497-793	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1910 октября 14	нем. яз.		
10/14/2014	scanned		2538	12497		794	1291	of-12497-794	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1910 сентября 3	нем. яз.		
10/14/2014	scanned		2545	12497		795	1291	of-12497-795	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1911 апреля 25	нем. яз.		
10/14/2014	scanned		2551	12497		796	1291	of-12497-796	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1911 декабря 23	нем. яз.; водяные знаки		
10/14/2014	scanned		2552	12497		797	1291	of-12497-797	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1911 декабря 29	нем. яз.; водяные знаки		
10/14/2014	scanned		2546	12497		798	1291	of-12497-798	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1911 июня 16	нем. яз.		
10/14/2014	scanned		2550	12497		799	1291	of-12497-799	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1911 ноября 25	нем. яз.		
10/14/2014	scanned		2548	12497		800	1291	of-12497-800	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1911 октября 25	нем. яз.		
10/14/2014	scanned		2549	12497		801	1291	of-12497-801	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1911 октября 31	нем. яз.		
10/14/2014	scanned		2543	12497		802	1291	of-12497-802	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1911 февраля 13	нем. яз.		
10/14/2014	scanned		2544	12497		803	1291	of-12497-803	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1911 февраля 25	нем. яз.		
10/14/2014	scanned		2561	12497		804	1291	of-12497-804	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1912 августа 17	нем. яз.; водяные знаки		
10/14/2014	scanned		2562	12497		805	1291	of-12497-805	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1912 августа 24	нем. яз.		
10/14/2014	scanned		2555	12497		806	1291	of-12497-806	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1912 апреля 18	нем. яз.; водяные знаки		
10/14/2014	scanned		2554	12497		807	1291	of-12497-807	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1912 апреля 9	нем. яз.; водяные знаки		
10/14/2014	scanned		2559	12497		808	1291	of-12497-808	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1912 июля 15	нем. яз.; водяные знаки		
10/14/2014	scanned		2560	12497		809	1291	of-12497-809	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1912 июля 31	нем. яз.; водяные знаки		
10/14/2014	scanned		2558	12497		810	1291	of-12497-810	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1912 июля 5	нем. яз.; водяные знаки		
10/14/2014	scanned		2553	12497		811	1291	of-12497-811	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1912 марта 13	нем. яз.; водяные знаки		
10/14/2014	scanned		2556	12497		812	1291	of-12497-812	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1912 мая 15	нем. яз.; водяные знаки		
10/14/2014	scanned		2557	12497		813	1291	of-12497-813	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1912 мая 25	нем. яз.; водяные знаки		
10/14/2014	scanned		2567	12497		814	1291	of-12497-814	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1912 ноября 6	нем. яз.		
10/14/2014	scanned		2566	12497		815	1291	of-12497-815	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1912 октября 7	нем. яз.; на оборотной стор. листа карандашные записи		
10/14/2014	scanned		2564	12497		816	1291	of-12497-816	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1912 сентября 17	нем. яз.		
10/14/2014	scanned		2565	12497		817	1291	of-12497-817	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1912 сентября 18	нем. яз.		
10/14/2014	scanned		2574	12497		818	1291	of-12497-818	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1913 августа 16	нем. яз.; водяные знаки		
10/14/2014	scanned		2575	12497		819	1291	of-12497-819	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1913 августа 19	нем. яз.; водяные знаки		
10/14/2014	scanned		2576	12497		820	1291	of-12497-820	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1913 августа 29	нем. яз.; водяные знаки		
10/14/2014	scanned		2571	12497		821	1291	of-12497-821	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1913 апреля 5	нем. яз.		
10/14/2014	scanned		2579	12497		822	1291	of-12497-822	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1913 декабря 6	нем. яз.; водяные знаки		
10/14/2014	scanned		2573	12497		823	1291	of-12497-823	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1913 июля 19	нем. яз.; водяные знаки		
10/14/2014	scanned		2570	12497		824	1291	of-12497-824	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1913 марта 11	нем. яз.; водяные знаки		
10/14/2014	scanned		2572	12497		825	1291	of-12497-825	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1913 мая 31	нем. яз.; водяные знаки		
10/14/2014	scanned		2578	12497		826	1291	of-12497-826	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1913 ноября 11	нем. яз.; водяные знаки		
10/14/2014	scanned		2577	12497		827	1291	of-12497-827	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1913 октября 17	нем. яз.; водяные знаки		
10/14/2014	scanned		2569	12497		828	1291	of-12497-828	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1913 февраля 14	нем. яз.		
10/14/2014	scanned		2568	12497		829	1291	of-12497-829	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1913 января 15	нем. яз.		
10/14/2014	scanned		2585	12497		830	1291	of-12497-830	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1914 июля 4	нем. яз.; водяные знаки		
10/14/2014	scanned		2584	12497		831	1291	of-12497-831	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1914 июня 3	нем. яз.; водяные знаки		
10/14/2014	scanned		2583	12497		832	1291	of-12497-832	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1914 марта 26	нем. яз.		
10/14/2014	scanned		2581	12497		833	1291	of-12497-833	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1914 февраля 11	нем. яз.; водяные знаки		
10/14/2014	scanned		2582	12497		834	1291	of-12497-834	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1914 февраля 23	нем. яз.; водяные знаки		
10/14/2014	scanned		2580	12497		835	1291	of-12497-835	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1914 января 14	нем. яз.; водяные знаки		
10/14/2014	scanned		2586	12497		836	1291	of-12497-836	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1931 сентября 16	нем. яз.; водяные знаки		
10/14/2014	scanned		2547	12497		837	1291	of-12497-837	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись+рукопись	1911 октября 13	нем. яз.		
10/14/2014	scanned		2499	12497		838	1291	of-12497-838	4.2.В*	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	рукопись	1907 апреля 9	нем. яз.; водяные знаки		
10/14/2014	scanned		2502	12497		839	1291	of-12497-839	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	рукопись	1907 июня 12	нем. яз.; водяные знаки; на обратной стор. листа карандашные записи		
10/14/2014	scanned		2501	12497		840	1291	of-12497-840	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	рукопись	1907 мая 30	нем. яз.; водяные знаки		
10/14/2014	scanned		2500	12497		841	1291	of-12497-841	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	рукопись	1907 мая 7	нем. яз.; водяные знаки		
10/14/2014	scanned		2505	12497		842	1291	of-12497-842	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	рукопись	1907 ноября 14	нем. яз.; водяные знаки		
10/14/2014	scanned		2503	12497		843	1291	of-12497-843	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	рукопись	1907 октября 2	нем. яз.; водяные знаки		
10/14/2014	scanned		2504	12497		844	1291	of-12497-844	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	рукопись	1907 октября 26	нем. яз.; водяные знаки		
10/14/2014	scanned		2508	12497		845	1291	of-12497-845	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	рукопись	1908 апреля 24	нем. яз.; водяные знаки		
10/14/2014	scanned		2531	12497		846	1291	of-12497-846	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	рукопись	1909 октября 21	нем. яз.; водяные знаки		
10/14/2014	scanned		2539	12497		847	1291	of-12497-847	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	рукопись	1910 сентября 6	нем. яз.		
10/14/2014	scanned		2563	12497		848	1291	of-12497-848	4.2.В	"Wilh. Schluter (Вильгельм Шлютер), Naturwissenschaftliches Lehrmittel-Institut  /Институт естественно-научных учебных пособий, производство и продажа/, Halle a. S., Германия . Письмо А.Ф.Котсу ."	полная	оригинал	рукопись	1912 сентября 2	нем. яз.		
2/21/2015	scanned		2589	12497		242	1292	eh-1292	4.2.В	"The Society for Cultural Relations Between the Peoples of the British Commonwealth and the USSR,  Hon. Secretary Catherine Rabinovitch, London . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1928 марта 27	англ. яз.		
2/21/2015	scanned		2588	12497		243	1292	eh-1292	4.2.В*	"The Society for Cultural Relations Between the Peoples of the British Commonwealth and the USSR,  Hon. Secretary Catherine Rabinovitch, London . Письмо А.Ф.Котсу ."	полная	оригинал	машинопись	1928 февраля 28	англ. яз.		
2/21/2015	scanned		2590	12497		244	1292	eh-1292	4.2.В	"Котс А.Ф. Письмо на имя Mme Catherine Rabinovitch, Hon. Secretary of the Society for Cultural Relations Between the Peoples of the British Commonwealth and the USSR, London ."	полная	копия	машинопись	б/г	англ. яз.		
2/21/2015	scanned		2591	10141		512	1293	of-10141-512	4.2.В*	"Staatliche Museen Heidecksburg , Rudolstadt , W.Ennenbach ."	полная	оригинал	машинопись	1960 мая 2	нем. яз.		
2/21/2015	scanned		2592		2116	692	1294	nvf-2116-692	4.2.В*	"F.Stahlschmidt & Co , London . Письмо А.Ф.Котсу. + Bill of Lading ном. 125, по поводу перевозки на судне ""Viatcheslav Molotov"" 2-х ящиков с ест. научными экспонатами ."	полная	оригинал+фотокопия	машинопись	1956 сентябрь	"+ Письмо Котса начальнику Моск. таможни по поводу привезенных экспонатов , 1 л."		
1/19/2015	scanned		2593	12497		760	1295	of-12497-760	4.2.В*	"Statens Naturvetenskapliga Forskningsrad (NFR) , Stockholm, Sweden ; Hans Hellwig . Письмо А.Ф.Котсу ."	полная	копия	машинопись	1963 сентябрь	англ. яз.		
12/24/2012	scanned	70 лл.	966	10141		254	910	eh-910	4.1.А	"Бобринский Николай Алексеевич -доктор биол. наук, проф. МГУ,внешт.сотр.ГДМ, фаунист-зоолог. Письмо Котсу с просьбой прислать ""часть учебных пособий в обмен на сайгу""; о своей работе над учебными пособиями по зоологии ."	полная	оригинал	рукопись	б/г			
