"id","collection","dc.contributor.author[en]","dc.contributor.author[ru]","dc.creator[en]","dc.creator[ru]","dc.date.created","dc.description[ru]","dc.identifier.other[en]","dc.identifier.other[ru]","dc.language.iso[en]","dc.publisher[en]","dc.publisher[ru]","dc.subject[en]","dc.subject[ru]","dc.title[ru]","dc.type[en]","sdm-archive.date.cataloged","sdm-archive.date.digitized","sdm-archive.date.textExtracted","sdm-archive.misc.archive-date","sdm-archive.misc.authenticity","sdm-archive.misc.classification-code","sdm-archive.misc.classification-group","sdm-archive.misc.completeness","sdm-archive.misc.document-type","sdm-archive.misc.fond","sdm-archive.misc.inventoryGroup","sdm-archive.misc.notes","sdm-archive.misc.storageItem"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1913 ноября 22","ОФ-12497/1017 D.Brucciani & Co. Ltd., Formatori to the British Museum and to the Royal Academy of Arts., Managing Director, Director; London. Письмо А.Ф.Котсу. Время создания: 1913 ноября 22. Полнота: полная. Подлинность: оригинал. Способ воспроизведения: машинопись. Примечания: англ. яз.","Storage item 1245 (inventory by Novikova N.A.)","Место хранения 1245 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","D.Brucciani & Co. Ltd., Formatori to the British Museum and to the Royal Academy of Arts., Managing Director, Director; London. Письмо А.Ф.Котсу","Text","2016-02-12","2014-06-06","","","оригинал","4.2B","Переписка с государственным учреждениями и частными предприятиями (фирмами, магазинами и т.д.)","полная","машинопись","ОФ-12497","Novikova","англ. яз.","1245"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1912 октября 22||1912 января 13||1912 января 31","ОФ-12497/1154 Christoph Reisser's Sohne, Buchdruckerei, Lithographie, Steindruckerei /Литография, Книжные и литографические оттиски/, Wien. Письмо А.Ф.Котсу. Время создания: 1912 октября 22. Полнота: полная. Подлинность: оригинал. Способ воспроизведения: машинопись. Примечания: нем. яз.; в конце письма текст, написанный от руки.||ОФ-12497/1155 Christoph Reisser's Sohne, Buchdruckerei, Lithographie, Steindruckerei /Литография, Книжные и литографические оттиски/, Wien. Письмо А.Ф.Котсу. Время создания: 1912 января 13. Примечания: нем. яз.||ОФ-12497/1156 Christoph Reisser's Sohne, Buchdruckerei, Lithographie, Steindruckerei /Литография, Книжные и литографические оттиски/, Wien. Фактура (счет) на имя А.Ф.Котса. Время создания: 1912 января 31. Способ воспроизведения: рукопись.","Storage item 1246 (inventory by Novikova N.A.)","Место хранения 1246 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Переписка, Christoph Reisser's Sohne","Text","2016-02-12","2014-06-06","","","оригинал","4.2B","Переписка с государственным учреждениями и частными предприятиями (фирмами, магазинами и т.д.)","полная","машинопись||рукопись","ОФ-12497","Novikova","нем. яз.; в конце письма текст, написанный от руки||нем. яз.","1246"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1961 апрель||1961 марта 29||б/г||1959 февраля 27||1961 декабря 23||1961 мая 15||1962 апреля 28||1959 ноября 11||1960 мая 7||1960 января 18||1960 апреля 10||1960 декабря 28","ОФ-12497/1140 Christ's College, Cambridge, Brian W. Downs - Master. Письмо А.Ф.Котсу. Время создания: 1961 апрель. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: англ. яз.||ОФ-12497/1141 Christ's College, Cambridge, Brian W. Downs - Master. Письмо А.Ф.Котсу. Время создания: 1961 марта 29.||ОФ-12497/1142 Christ's College, Cambridge, Brian W. Downs - Master. Письмо А.Ф.Котсу. Время создания: б/г.||ОФ-12497/1143 Christ's College, Cambridge, Brian W. Downs - Master. Письмо А.Ф.Котсу. Время создания: 1959 февраля 27. Подлинность: оригинал.||ОФ-12497/1144 Christ's College, Cambridge, Brian W. Downs - Master. Письмо А.Ф.Котсу. Время создания: 1961 декабря 23. Примечания: англ. яз.; водяные знаки.||ОФ-12497/1145 Christ's College, Cambridge, Brian W. Downs - Master. Письмо А.Ф.Котсу. Время создания: 1961 мая 15.||ОФ-12497/1146 Christ's College, Cambridge, Brian W. Downs - Master. Письмо А.Ф.Котсу. Время создания: 1962 апреля 28.||ОФ-12497/1147 Christ's College, Cambridge, Brian W. Downs - Master. Письмо А.Ф.Котсу с благод. за информацию о работе, которую проводят сотрудники ГДМ; о демонстрации альбома картин, относящихся к Ч.Дарвину, присланный ДМ. Время создания: 1959 ноября 11.||ОФ-12497/1148 Christ's College, Cambridge, Brian W. Downs - Master. Письмо А.Ф.Котсу с благод. за присланные фотоснимки и печатные труды относящиеся к ГДМ и выставке, организованной в память опубликования ""Происх. видов"". Время создания: 1960 мая 7. Подлинность: оригинал+фотокопия. Примечания: англ. яз.; 2 экз.: 1 л. - оригинал, 1 л. - фотокопия.||ОФ-12497/1149 Christ's College, Cambridge, Dr. A.L.Peck - Librarian. Письмо А.Ф.Котсу. Время создания: 1960 января 18.||ОФ-12497/1150 Котс А.Ф. Письмо Sir Brian W.Down, Christ's College, Cambridge.||ОФ-12497/1151 Котс А.Ф. Письмо to the Master of Christ's College, Cambridge.||ОФ-12497/1152 Котс А.Ф. Письмо to the Master of Christ's College, Cambridge. Время создания: 1960 апреля 10.||НВФ-2116/554 Christ's College, Cambridge, to the Honorable Master. Письмо А.Ф.Котсу.||НВФ-2116/579 Christ's College, Cambridge, Brian W. Downs - Master. Письмо А.Ф.Котсу с благод. ""за присланную ценную посылку печатного и живописного материала"". Время создания: 1960 декабря 28.||НВФ-2116/678 Котс А.Ф. Письмо на имя Sir Brian W.Down, Christ's College, Cambridge о возможности отправке почтой серии фотоснимков с картин ГДМ.||НВФ-2116/741 Котс А.Ф. Письмо Sir Brian W.Down, Christ's College, Cambridge.","Storage item 1247 (inventory by Novikova N.A.)","Место хранения 1247 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Переписка, Christ's College, Cambridge","Text","2016-02-12","2014-04-08","","","копия||оригинал||оригинал+фотокопия","4.2B","Переписка с государственным учреждениями и частными предприятиями (фирмами, магазинами и т.д.)","полная","машинопись","ОФ-12497||НВФ-2116","Novikova","англ. яз.||англ. яз.; водяные знаки||англ. яз.; 2 экз.: 1 л. - оригинал, 1 л. - фотокопия","1247"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1928 мая 21||1932 сентября 13||1933 февраль||б/г||1928 сентября 19","ОФ-10141/509 Сolumbia University in the City of New York, Departament of Zoology, T.H.Morgan. Письмо А.Ф.Котсу. Время создания: 1928 мая 21. Полнота: полная. Подлинность: оригинал. Способ воспроизведения: машинопись. Примечания: англ. яз.||ОФ-10141/513 Сolumbia University in the City of New York, Departament of Psychology, John P. Foley - Assistant in Comparative Psychology. Письмо А.Ф.Котсу. Время создания: 1932 сентября 13.||ОФ-12497/1014 Котс А.Ф. Письмо на имя Mr. John P. Foley, Сolumbia University in the City of New York, Department of Psychology. Время создания: 1933 февраль. Подлинность: копия.||ОФ-12497/1015 Котс А.Ф. Письмо на имя Prof. Thomas Hunt Morgan, Сolumbia University in the City of New York. Время создания: б/г.||ОФ-12497/1016 Котс А.Ф. Письмо на имя Prof. Thomas Hunt Morgan, Сolumbia University in the City of New York. Время создания: 1928 сентября 19.","Storage item 1248 (inventory by Novikova N.A.)","Место хранения 1248 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Переписка, Сolumbia University in the City of New York, Departament of Zoology","Text","2016-02-12","2014-06-06","","","оригинал||копия","4.2B","Переписка с государственным учреждениями и частными предприятиями (фирмами, магазинами и т.д.)","полная","машинопись","ОФ-10141||ОФ-12497","Novikova","англ. яз.","1248"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1963 авг. 3;1964 января 21","ОФ-12497/1013 Department of Geology, Panjab University, Chandigarh (Punjab), India; M.R. Sahni - Professor of Geology; Shyama Sahni. + 1 семейное фото. Время создания: 1963 авг. 3;1964 января 21. Полнота: полная. Подлинность: оригинал. Способ воспроизведения: машинопись+рукопись. Примечания: яз. ?.","Storage item 1249 (inventory by Novikova N.A.)","Место хранения 1249 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Department of Geology, Panjab University, Chandigarh (Punjab), India; M.R. Sahni - Professor of Geology; Shyama Sahni. + 1 семейное фото","Text","2016-02-12","2014-06-06","","","оригинал","4.2B","Переписка с государственным учреждениями и частными предприятиями (фирмами, магазинами и т.д.)","полная","машинопись+рукопись","ОФ-12497","Novikova","яз. ?","1249"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1914 января 13||1913 августа 27||1913 июля 18||1913 октября 14||1913 сентября 19","ОФ-12497/336 Dultz & Co., Buchhandlung und Antiquariat fur Naturwissenschaften /Книжная лавка и букинистический магазин естественнонаучной литературы/, Munchen, Германия. Открытое письмо А.Ф.Котсу. Время создания: 1914 января 13. Полнота: полная. Подлинность: оригинал. Способ воспроизведения: рукопись. Примечания: нем. яз.||ОФ-12497/337 Dultz & Co., Buchhandlung und Antiquariat fur Naturwissenschaften /Книжная лавка и букинистический магазин естественнонаучной литературы/, Munchen, Германия. Письмо А.Ф.Котсу. Время создания: 1913 августа 27.||ОФ-12497/338 Dultz & Co., Buchhandlung und Antiquariat fur Naturwissenschaften /Книжная лавка и букинистический магазин естественнонаучной литературы/, Munchen, Германия. Письмо А.Ф.Котсу. Время создания: 1913 июля 18.||ОФ-12497/339 Dultz & Co., Buchhandlung und Antiquariat fur Naturwissenschaften /Книжная лавка и букинистический магазин естественнонаучной литературы/, Munchen, Германия. Письмо А.Ф.Котсу. Время создания: 1913 октября 14.||ОФ-12497/340 Dultz & Co., Buchhandlung und Antiquariat fur Naturwissenschaften /Книжная лавка и букинистический магазин естественнонаучной литературы/, Munchen, Германия. Письмо А.Ф.Котсу. Время создания: 1913 сентября 19.","Storage item 1250 (inventory by Novikova N.A.)","Место хранения 1250 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Переписка, Dultz & Co., Buchhandlung und Antiquariat fur Naturwissenschaften","Text","2016-02-12","2014-11-24","","","оригинал","4.2B","Переписка с государственным учреждениями и частными предприятиями (фирмами, магазинами и т.д.)","полная","рукопись","ОФ-12497","Novikova","нем. яз.","1250"
+,"123456789/2165","Gentz, Kurst||Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Gentz, Kurst||Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1959 августа 28||1959 сентября 25","ОФ-12497/1011 Der Falke /Ястреб/, Zweimonatsschrift fur Vogelkunde, Vogelschutz, Vogelpflege und Vogelzucht, Berlin; Kurst Gentz. Письмо А.Ф.Котсу. Время создания: 1959 августа 28. Полнота: полная. Подлинность: оригинал. Способ воспроизведения: машинопись. Примечания: нем. яз.||ОФ-12497/1012 Der Falke /Ястреб/, Zweimonatsschrift fur Vogelkunde, Vogelschutz, Vogelpflege und Vogelzucht, Berlin; Kurst Gentz. Письмо А.Ф.Котсу. Время создания: 1959 сентября 25.","Storage item 1251 (inventory by Novikova N.A.)","Место хранения 1251 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Gentz Kurst, переписка","Text","2016-02-12","2014-11-24","","","оригинал","4.2B","Переписка с государственным учреждениями и частными предприятиями (фирмами, магазинами и т.д.)","полная","машинопись","ОФ-12497","Novikova","нем. яз.","1251"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1928 мая 1","ОФ-12497/342 J.A.Felisch & Co., Berlin. Письмо А.Ф.Котсу с уведомлением о высылке ему брошюры (содержащей много снимков животных) фабрики Гуго Мейер. Время создания: 1928 мая 1. Полнота: полная. Подлинность: оригинал. Способ воспроизведения: машинопись.","Storage item 1252 (inventory by Novikova N.A.)","Место хранения 1252 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","J.A.Felisch & Co., Berlin. Письмо А.Ф.Котсу с уведомлением о высылке ему брошюры (содержащей много снимков животных) фабрики Гуго Мейер","Text","2016-02-12","2014-12-09","","","оригинал","4.2B","Переписка с государственным учреждениями и частными предприятиями (фирмами, магазинами и т.д.)","полная","машинопись","ОФ-12497","Novikova","","1252"
+,"123456789/2165","Fock, Gustav||Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Fock, Gustav||Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1936 июля 18||1911 ноября 18||1912 апреля 1||1912 июля 18||1912 марта 25||1913 августа 14||1913 августа 16||1913 ноября 26||1913 октября 9||1913 сентября 23||1913 сентября 6||1914 апреля 1||1914 марта 27||1914 февраля 6||1911 октября 20||1911 октября 28","ОФ-12497/320 Gustav Fock, Buchandlung /Книжный магазин/, Leipzig, Германия. Открытое письмо в адрес Дарвиновского музея. Время создания: 1936 июля 18. Полнота: полная. Подлинность: оригинал. Способ воспроизведения: машинопись. Примечания: нем. яз.||ОФ-12497/321 Gustav Fock, Buchandlung /Книжный магазин/, Leipzig, Германия. Письмо А.Ф.Котсу. Время создания: 1911 ноября 18. Примечания: нем. яз.; водяные знаки.||ОФ-12497/322 Gustav Fock, Buchandlung /Книжный магазин/, Leipzig, Германия. Письмо А.Ф.Котсу. Время создания: 1912 апреля 1.||ОФ-12497/323 Gustav Fock, Buchandlung /Книжный магазин/, Leipzig, Германия. Письмо А.Ф.Котсу. Время создания: 1912 июля 18.||ОФ-12497/324 Gustav Fock, Buchandlung /Книжный магазин/, Leipzig, Германия. Письмо А.Ф.Котсу. Время создания: 1912 марта 25.||ОФ-12497/325 Gustav Fock, Buchandlung /Книжный магазин/, Leipzig, Германия. Письмо А.Ф.Котсу. Время создания: 1913 августа 14.||ОФ-12497/326 Gustav Fock, Buchandlung /Книжный магазин/, Leipzig, Германия. Письмо А.Ф.Котсу. Время создания: 1913 августа 16.||ОФ-12497/327 Gustav Fock, Buchandlung /Книжный магазин/, Leipzig, Германия. Письмо А.Ф.Котсу. Время создания: 1913 ноября 26.||ОФ-12497/328 Gustav Fock, Buchandlung /Книжный магазин/, Leipzig, Германия. Письмо А.Ф.Котсу. Время создания: 1913 октября 9.||ОФ-12497/329 Gustav Fock, Buchandlung /Книжный магазин/, Leipzig, Германия. Письмо А.Ф.Котсу. Время создания: 1913 сентября 23.||ОФ-12497/330 Gustav Fock, Buchandlung /Книжный магазин/, Leipzig, Германия. Письмо А.Ф.Котсу. Время создания: 1913 сентября 6.||ОФ-12497/331 Gustav Fock, Buchandlung /Книжный магазин/, Leipzig, Германия. Письмо А.Ф.Котсу. Время создания: 1914 апреля 1.||ОФ-12497/332 Gustav Fock, Buchandlung /Книжный магазин/, Leipzig, Германия. Письмо А.Ф.Котсу. Время создания: 1914 марта 27.||ОФ-12497/333 Gustav Fock, Buchandlung /Книжный магазин/, Leipzig, Германия. Письмо А.Ф.Котсу. Время создания: 1914 февраля 6.||ОФ-12497/334 Gustav Fock, Buchandlung /Книжный магазин/, Leipzig, Германия. Письмо в адрес Зоол. лаборатории ВЖК. Время создания: 1911 октября 20.||ОФ-12497/335 Gustav Fock, Buchandlung /Книжный магазин/, Leipzig, Германия. Письмо в адрес Зоол. лаборатории ВЖК. Время создания: 1911 октября 28.","Storage item 1253 (inventory by Novikova N.A.)","Место хранения 1253 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Fock Gustav, переписка","Text","2016-02-12","2014-12-09","","","оригинал","4.2B","Переписка с государственным учреждениями и частными предприятиями (фирмами, магазинами и т.д.)","полная","машинопись","ОФ-12497","Novikova","нем. яз.||нем. яз.; водяные знаки","1253"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1962 июля 3","ОФ-12497/758 The Free Library of Philadelphia /Библиотека в Филадельфии/, Emerson Greenaway - Director. Письмо в адрес Госуд. библиотеки им. Ленина (на имя Ирмы Багровой), [возм. из библиотеки письмо переслали в адрес ГДМ]. Время создания: 1962 июля 3. Полнота: полная. Подлинность: оригинал. Способ воспроизведения: машинопись. Примечания: англ.яз.; водяные знаки.","Storage item 1254 (inventory by Novikova N.A.)","Место хранения 1254 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","The Free Library of Philadelphia /Библиотека в Филадельфии/, Emerson Greenaway - Director. Письмо в адрес Госуд. библиотеки им. Ленина (на имя Ирмы Багровой), [возм. из библиотеки письмо переслали в адрес ГДМ]","Text","2016-02-12","2014-12-09","","","оригинал","4.2B","Переписка с государственным учреждениями и частными предприятиями (фирмами, магазинами и т.д.)","полная","машинопись","ОФ-12497","Novikova","англ.яз.; водяные знаки","1254"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1908 ноября 10||1908 марта 28||1907 декабря 3||1908 февраля 10||1908 февраля 15||1908 февраля 20||1908 января 11||1908 января 29","ОФ-12430/103 V.Fric in Prag, Naturalien - Handlung /торговля предметами естественно-научных коллекций/, Prag, /Прага/. Письмо А.Ф.Котсу.+ Счет V.Fric в адрес Зоолог. лабор. ВЖК за проданные черепа и скелеты (1 л.).+ Перечень предлагаемых скелетов и черепов (5 лл.). Время создания: 1908 ноября 10. Полнота: полная. Подлинность: оригинал. Способ воспроизведения: рукопись. Примечания: нем. яз.; водяные знаки.||ОФ-12497/313 V.Fric in Prag, Naturalien - Handlung /торговля предметами естественно-научных коллекций/, Prag, /Прага/. Письмо А.Ф.Котсу. + Перечень предлагаемых предметов естественно-научных коллекций /2 лл./. Время создания: 1908 марта 28. Примечания: нем. яз.||ОФ-12497/314 V.Fric in Prag, Naturalien - Handlung /торговля предметами естественно-научных коллекций/, Prag, /Прага/. Письмо А.Ф.Котсу. Время создания: 1907 декабря 3.||ОФ-12497/315 V.Fric in Prag, Naturalien - Handlung /торговля предметами естественно-научных коллекций/, Prag, /Прага/. Письмо А.Ф.Котсу. Время создания: 1908 февраля 10.||ОФ-12497/316 V.Fric in Prag, Naturalien - Handlung /торговля предметами естественно-научных коллекций/, Prag, /Прага/. Письмо А.Ф.Котсу. Время создания: 1908 февраля 15.||ОФ-12497/317 V.Fric in Prag, Naturalien - Handlung /торговля предметами естественно-научных коллекций/, Prag, /Прага/. Письмо А.Ф.Котсу. Время создания: 1908 февраля 20.||ОФ-12497/318 V.Fric in Prag, Naturalien - Handlung /торговля предметами естественно-научных коллекций/, Prag, /Прага/. Письмо А.Ф.Котсу. Время создания: 1908 января 11.||ОФ-12497/319 V.Fric in Prag, Naturalien - Handlung /торговля предметами естественно-научных коллекций/, Prag, /Прага/. Письмо А.Ф.Котсу. Время создания: 1908 января 29.","Storage item 1255 (inventory by Novikova N.A.)","Место хранения 1255 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Переписка, V.Fric in Prag, Naturalien","Text","2016-02-12","2014-12-09","","","оригинал","4.2B","Переписка с государственным учреждениями и частными предприятиями (фирмами, магазинами и т.д.)","полная","рукопись","ОФ-12430||ОФ-12497","Novikova","нем. яз.; водяные знаки||нем. яз.","1255"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1911 сентября 28||1912 июля 10||1912 июня 27||1912 марта 14||1913 ноября 4||1913 сентября 10||1914 января 31||1911 мая 18","ОФ-12497/305 R.Friedlander & Sohn, Buchhandlung /Книжный магазин/, Berlin, Германия. Открытое письмо А.Ф.Котсу. Время создания: 1911 сентября 28. Полнота: полная. Подлинность: оригинал. Способ воспроизведения: рукопись. Примечания: нем. яз.||ОФ-12497/306 R.Friedlander & Sohn, Buchhandlung /Книжный магазин/, Berlin, Германия. Письмо А.Ф.Котсу. Время создания: 1912 июля 10.||ОФ-12497/307 R.Friedlander & Sohn, Buchhandlung /Книжный магазин/, Berlin, Германия. Письмо А.Ф.Котсу. Время создания: 1912 июня 27.||ОФ-12497/308 R.Friedlander & Sohn, Buchhandlung /Книжный магазин/, Berlin, Германия. Письмо А.Ф.Котсу. Время создания: 1912 марта 14.||ОФ-12497/309 R.Friedlander & Sohn, Buchhandlung /Книжный магазин/, Berlin, Германия. Письмо А.Ф.Котсу. Время создания: 1913 ноября 4.||ОФ-12497/310 R.Friedlander & Sohn, Buchhandlung /Книжный магазин/, Berlin, Германия. Письмо А.Ф.Котсу. Время создания: 1913 сентября 10.||ОФ-12497/311 R.Friedlander & Sohn, Buchhandlung /Книжный магазин/, Berlin, Германия. Письмо А.Ф.Котсу. Время создания: 1914 января 31.||ОФ-12497/312 R.Friedlander & Sohn, Buchhandlung /Книжный магазин/, Berlin, Германия. Письмо А.Ф.Котсу. Время создания: 1911 мая 18. Способ воспроизведения: руокпись.","Storage item 1256 (inventory by Novikova N.A.)","Место хранения 1256 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Переписка, R.Friedlander & Sohn, Buchhandlung","Text","2016-02-12","2014-12-16","","","оригинал","4.2B","Переписка с государственным учреждениями и частными предприятиями (фирмами, магазинами и т.д.)","полная","рукопись||руокпись","ОФ-12497","Novikova","нем. яз.","1256"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","б/г","ОФ-12497/298 Friedrich-Wilhelm Universitat, Berlin. Herrn Dr. Oskar Pfungst. Письмо А.Ф.Котсу. Время создания: б/г. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: нем. яз.","Storage item 1257 (inventory by Novikova N.A.)","Место хранения 1257 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Friedrich-Wilhelm Universitat, Berlin. Herrn Dr. Oskar Pfungst. Письмо А.Ф.Котсу","Text","2016-02-12","2014-12-16","","","копия","4.2B","Переписка с государственным учреждениями и частными предприятиями (фирмами, магазинами и т.д.)","полная","машинопись","ОФ-12497","Novikova","нем. яз.","1257"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1961 сентября 19||б/г","ОФ-12497/1002 Haeckel-Museum u. Institut fur Geschichte der Zoologie [Музей Геккеля при Институте истории и зоологии], Ernst-Haeckel-Haus, Jena; Dr. G.Uschmann. Письмо А.Ф.Котсу. Время создания: 1961 сентября 19. Полнота: полная. Подлинность: оригинал. Способ воспроизведения: машинопись. Примечания: нем. яз.||ОФ-12497/1003 Котс А.Ф. Письмо в адрес Ernst-Haeckel-Haus, Jena; на имя Prof. Dr. Heinrich Schmidt. Время создания: б/г. Подлинность: копия.","Storage item 1258 (inventory by Novikova N.A.)","Место хранения 1258 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Переписка, Haeckel-Museum u. Institut fur Geschichte der Zoologie","Text","2016-02-12","2014-12-16","","","оригинал||копия","4.2B","Переписка с государственным учреждениями и частными предприятиями (фирмами, магазинами и т.д.)","полная","машинопись","ОФ-12497","Novikova","нем. яз.","1258"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1913 сентября 18","НВФ-2116/699 Сarl Hagenbeck, Export & Import Fiere fur Zoologische Garten und Privat Parks /Экспорт и импорт животных для Зоолог. садов и частных парков/, Bez. Hamburg. Письмо А.Ф.Котсу. Время создания: 1913 сентября 18. Полнота: полная. Подлинность: оригинал. Способ воспроизведения: машинопись. Примечания: нем. яз.","Storage item 1259 (inventory by Novikova N.A.)","Место хранения 1259 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Сarl Hagenbeck, Export & Import Fiere fur Zoologische Garten und Privat Parks /Экспорт и импорт животных для Зоолог. садов и частных парков/, Bez. Hamburg. Письмо А.Ф.Котсу","Text","2016-02-12","2014-12-16","","","оригинал","4.2B","Переписка с государственным учреждениями и частными предприятиями (фирмами, магазинами и т.д.)","полная","машинопись","НВФ-2116","Novikova","нем. яз.","1259"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1907 мая 24||1907 декабря 30","ОФ-10141/528 Котс А.Ф. Письмо в адрес Maison Emilie Deyrolle, Paris. Время создания: 1907 мая 24. Полнота: полная. Подлинность: оригинал. Способ воспроизведения: рукопись. Примечания: франц. яз.||ОФ-12497/1001 Histoire Naturelle - Anatomie - Micrographie - Librairie, Montage et Preparation Artistiques d'Animaux, Les Fils d'Emile Deyrolle, Paris. Письмо А.Ф.Котсу. Время создания: 1907 декабря 30. Способ воспроизведения: машинопись.","Storage item 1260 (inventory by Novikova N.A.)","Место хранения 1260 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Переписка, Maison Emilie Deyrolle, Paris","Text","2016-02-12","2014-12-29","","","оригинал","4.2B","Переписка с государственным учреждениями и частными предприятиями (фирмами, магазинами и т.д.)","полная","рукопись||машинопись","ОФ-10141||ОФ-12497","Novikova","франц. яз.","1260"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1913 сентября 24||1914 июня 22||1915 февраля 22||1914 июня 8","ОФ-12497/997 Edward Gerrard & Sons, Naturalists, Dealers & Agents; London. Письмо А.Ф.Котсу. Время создания: 1913 сентября 24. Полнота: полная. Подлинность: оригинал. Способ воспроизведения: рукопись. Примечания: англ. яз.||ОФ-12497/998 Edward Gerrard & Sons, Naturalists, Dealers & Agents; London. Письмо А.Ф.Котсу. Время создания: 1914 июня 22.||ОФ-12497/999 Edward Gerrard & Sons, Naturalists, Taxidermists and Articulators, Dealers & Agents; London. Письмо А.Ф.Котсу. Время создания: 1915 февраля 22.||ОФ-12497/1000 Edward Gerrard & Sons, Naturalists, Taxidermists, Osteologists; London. Письмо А.Ф.Котсу. + [Выписка из счета]. Время создания: 1914 июня 8.","Storage item 1261 (inventory by Novikova N.A.)","Место хранения 1261 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Переписка, Edward Gerrard & Sons, Naturalists, Dealers & Agents","Text","2016-02-12","2014-12-29","","","оригинал","4.2B","Переписка с государственным учреждениями и частными предприятиями (фирмами, магазинами и т.д.)","полная","рукопись","ОФ-12497","Novikova","англ. яз.","1261"
